epoch,train_loss,val_loss,val_accuracy
1,0.66724,0.61094,0.72492
2,0.58675,0.50709,0.80594
3,0.52533,0.49833,0.84380
4,0.48101,0.49659,0.83407
5,0.32491,0.36955,0.95578
6,0.13664,0.35942,0.96374
7,0.10573,0.35023,0.97187
8,0.09082,0.33845,0.97966
9,0.08291,0.34807,0.97205
10,0.07571,0.33257,0.98779
11,0.05161,0.32579,0.99363
12,0.04651,0.32831,0.98974
13,0.04204,0.32946,0.98603
14,0.03959,0.32510,0.99222
15,0.03394,0.32603,0.98903
16,0.03618,0.32581,0.99116
17,0.03297,0.32520,0.99204
18,0.03050,0.32657,0.98691
19,0.02977,0.32914,0.98426
20,0.02563,0.32635,0.98726
21,0.01685,0.32441,0.98974
22,0.01467,0.32666,0.98691
23,0.01289,0.32594,0.98691
24,0.01190,0.32144,0.99169
25,0.01145,0.32668,0.98638
26,0.01258,0.32710,0.98603
27,0.01015,0.32444,0.98868
28,0.00954,0.32651,0.98656
29,0.01034,0.32919,0.98337
30,0.01072,0.32748,0.98532
31,0.00547,0.32389,0.98903
32,0.00505,0.32487,0.98815
33,0.00490,0.32379,0.98921
34,0.00540,0.32359,0.98903
35,0.00505,0.32367,0.98921
36,0.00457,0.32280,0.98974
37,0.00489,0.32527,0.98762
38,0.00437,0.32395,0.98921
39,0.00398,0.32234,0.99062
40,0.00418,0.32346,0.98921
41,0.00276,0.32282,0.99045
42,0.00278,0.32399,0.98886
43,0.00269,0.32215,0.99151
44,0.00255,0.32355,0.98992
45,0.00260,0.32510,0.98832
46,0.00247,0.32295,0.98992
47,0.00219,0.32396,0.98886
48,0.00247,0.32494,0.98779
49,0.00622,0.32256,0.99062
50,0.00264,0.32620,0.98673
