epoch,train_loss,val_loss,val_accuracy
1,0.69431,0.64822,0.68707
2,0.67591,0.59111,0.75482
3,0.66687,0.67254,0.57881
4,0.66005,0.59374,0.83230
5,0.64999,0.62965,0.55475
6,0.64344,0.66467,0.56943
7,0.62174,0.67673,0.57863
8,0.58667,0.56830,0.70476
9,0.55146,0.51346,0.77640
10,0.52636,0.50006,0.85088
11,0.48651,0.48699,0.80276
12,0.46970,0.46562,0.86786
13,0.45779,0.58572,0.70299
14,0.44550,0.60380,0.67734
15,0.43659,0.46709,0.84521
16,0.42525,0.51479,0.81620
17,0.41282,0.43888,0.86927
18,0.39856,0.45323,0.86980
19,0.38491,0.46229,0.85353
20,0.36887,0.49101,0.81744
21,0.32104,0.47426,0.82328
22,0.29504,0.49232,0.81868
23,0.26830,0.43000,0.88024
24,0.24448,0.47041,0.83142
25,0.22112,0.49237,0.80417
26,0.19891,0.47661,0.82859
27,0.17751,0.44219,0.86290
28,0.16576,0.46899,0.83018
29,0.14507,0.44155,0.86308
30,0.14002,0.49883,0.79887
31,0.09618,0.43756,0.86662
32,0.08732,0.44401,0.86078
33,0.07872,0.44681,0.85724
34,0.07480,0.47528,0.82876
35,0.07188,0.43582,0.86998
36,0.06654,0.44578,0.85689
37,0.06177,0.44518,0.85972
38,0.06160,0.43230,0.87299
39,0.05504,0.43934,0.86697
40,0.05161,0.46327,0.84203
41,0.03764,0.48486,0.82045
42,0.03598,0.43865,0.86821
43,0.03268,0.44914,0.85777
44,0.02935,0.44436,0.86043
45,0.03196,0.46074,0.84557
46,0.02915,0.44862,0.85724
47,0.02812,0.45220,0.85318
48,0.02632,0.46434,0.84097
49,0.02369,0.46194,0.84698
50,0.02422,0.45110,0.85477
