epoch,train_loss,val_loss
1,0.48269,0.28685
2,0.30398,0.16604
3,0.18895,0.12499
4,0.14067,0.11894
5,0.11105,0.09525
6,0.09315,0.13021
7,0.08910,0.16989
8,0.07984,0.14983
9,0.06969,0.26483
10,0.06603,0.17568
11,0.05925,0.17168
12,0.05796,0.22443
13,0.05453,0.13717
14,0.05297,0.11574
15,0.04743,0.19519
16,0.04647,0.15810
17,0.04508,0.24457
18,0.04613,0.29854
19,0.04173,0.12017
20,0.03979,0.16979
21,0.03839,0.24507
22,0.03968,0.17752
23,0.03756,0.26258
24,0.03382,0.21468
25,0.03392,0.26153
26,0.03369,0.16946
27,0.03444,0.15922
28,0.02908,0.29753
29,0.03073,0.16643
30,0.03287,0.23595
31,0.02988,0.14580
32,0.02920,0.14691
33,0.02994,0.16929
34,0.02919,0.12851
35,0.02853,0.27002
36,0.02840,0.23260
37,0.02496,0.22422
38,0.02709,0.20749
39,0.02658,0.16695
40,0.02424,0.20348
41,0.02722,0.21378
42,0.02480,0.23415
43,0.03043,0.21883
44,0.02117,0.20004
45,0.02348,0.18898
46,0.02345,0.26202
47,0.02616,0.53847
48,0.02506,0.20690
49,0.02199,0.26225
50,0.02440,0.23590
