epoch,train_loss,val_loss
1,0.63709,0.33862
2,0.52826,0.27988
3,0.42700,0.32238
4,0.33946,0.36050
5,0.26989,0.46245
6,0.21434,0.35699
7,0.19017,0.39402
8,0.16085,0.38193
9,0.15024,0.47020
10,0.13650,0.50172
11,0.12510,0.40109
12,0.11922,0.38294
13,0.11075,0.57269
14,0.10674,0.48011
15,0.09914,0.56710
16,0.09191,0.47457
17,0.09182,0.40724
18,0.08796,0.40903
19,0.08376,0.36561
20,0.07792,0.42007
21,0.07670,0.54581
22,0.07627,0.52294
23,0.07236,0.57410
24,0.07278,0.47091
25,0.06804,0.51718
26,0.50758,0.45727
27,0.14594,0.45300
28,0.06000,0.78508
29,0.06239,0.55037
30,0.06335,0.44823
31,0.06478,0.74733
32,0.05954,0.50037
33,0.05679,0.57717
34,0.06034,0.59495
35,0.05606,0.56217
36,0.05172,0.65654
37,0.05651,0.50141
38,0.05040,0.45934
39,0.05142,0.39225
40,0.04636,0.47178
41,0.04756,0.49741
42,0.04830,0.56857
43,0.04717,0.50733
44,0.04652,0.42181
45,0.04276,0.62212
46,0.04094,0.45528
47,0.04332,0.56189
48,0.04043,0.55554
49,0.04220,0.63223
50,0.03780,0.55840
