epoch,train_loss,val_loss
1,0.70688,0.67943
2,0.69394,0.65260
3,0.68590,0.62730
4,0.68903,0.67404
5,0.68731,0.60155
6,0.68560,0.61072
7,0.68103,0.58674
8,0.67893,0.58581
9,0.67588,0.57752
10,0.67711,0.61063
11,0.67716,0.60849
12,0.68503,0.60190
13,0.67486,0.58987
14,0.67197,0.51212
15,0.66749,0.55728
16,0.66290,0.52049
17,0.66333,0.49154
18,0.65857,0.50709
19,0.65724,0.49833
20,0.65278,0.50152
21,0.65030,0.51516
22,0.64905,0.45905
23,0.64641,0.50783
24,0.64334,0.47550
25,0.64098,0.47114
26,0.63641,0.48039
27,0.63467,0.48317
28,0.63121,0.54640
29,0.62840,0.48127
30,0.62425,0.46634
31,0.62303,0.49218
32,0.61693,0.51425
33,0.61697,0.48448
34,0.61187,0.51611
35,0.60768,0.51028
36,0.60270,0.53896
37,0.59959,0.56696
38,0.59646,0.51203
39,0.59174,0.53422
40,0.58732,0.54594
41,0.58456,0.51864
42,0.57998,0.53217
43,0.57585,0.50580
44,0.57076,0.52266
45,0.56838,0.55025
46,0.56229,0.55608
47,0.55722,0.63800
48,0.55320,0.58925
49,0.54530,0.57214
50,0.54205,0.59054
