epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,141.309,0.45118,0.66478,1,0.87049,0.00332808,0.00332808,0.00332808
2,284.034,0.19946,0.95348,1,0.11984,0.00652951,0.00652951,0.00652951
3,420.472,0.1836,0.89492,1,0.24998,0.00959895,0.00959895,0.00959895
4,555.642,0.1614,0.97824,1,0.05975,0.009406,0.009406,0.009406
5,690.48,0.11415,0.97293,1,0.0663,0.009208,0.009208,0.009208
6,828.23,0.09829,0.98903,1,0.03258,0.00901,0.00901,0.00901
7,963.138,0.08964,0.94074,1,0.1656,0.008812,0.008812,0.008812
8,1098.73,0.08287,0.98903,1,0.03833,0.008614,0.008614,0.008614
9,1234.96,0.07806,0.97824,1,0.06083,0.008416,0.008416,0.008416
10,1371.42,0.07804,0.96321,1,0.09087,0.008218,0.008218,0.008218
11,1496.46,0.07007,0.98461,1,0.05145,0.00802,0.00802,0.00802
12,1632.81,0.06887,0.98196,1,0.04781,0.007822,0.007822,0.007822
13,1755.13,0.07233,0.96851,1,0.08428,0.007624,0.007624,0.007624
14,1886.93,0.07304,0.9701,1,0.07788,0.007426,0.007426,0.007426
15,2008.27,0.06543,0.97577,1,0.06618,0.007228,0.007228,0.007228
16,2128.71,0.06066,0.97612,1,0.07084,0.00703,0.00703,0.00703
17,2249.33,0.06098,0.96745,1,0.09422,0.006832,0.006832,0.006832
18,2369.54,0.0641,0.96374,1,0.0998,0.006634,0.006634,0.006634
19,2496.84,0.05613,0.97718,1,0.06122,0.006436,0.006436,0.006436
20,2614.77,0.05849,0.9763,1,0.05899,0.006238,0.006238,0.006238
21,2744.32,0.05668,0.97435,1,0.06665,0.00604,0.00604,0.00604
22,2862.02,0.05252,0.977,1,0.06151,0.005842,0.005842,0.005842
23,2991.65,0.0548,0.97736,1,0.06127,0.005644,0.005644,0.005644
24,3122.04,0.05114,0.97753,1,0.06052,0.005446,0.005446,0.005446
25,3249.96,0.05208,0.97364,1,0.06817,0.005248,0.005248,0.005248
26,3379.55,0.04695,0.97453,1,0.06785,0.00505,0.00505,0.00505
27,3497.64,0.05051,0.97523,1,0.06446,0.004852,0.004852,0.004852
28,3616.11,0.04366,0.974,1,0.0669,0.004654,0.004654,0.004654
29,3738.18,0.04457,0.97453,1,0.06565,0.004456,0.004456,0.004456
30,3856.08,0.04035,0.97541,1,0.06339,0.004258,0.004258,0.004258
31,3974.68,0.04013,0.9763,1,0.06419,0.00406,0.00406,0.00406
32,4093.18,0.03681,0.97577,1,0.07148,0.003862,0.003862,0.003862
33,4224.01,0.036,0.97683,1,0.06176,0.003664,0.003664,0.003664
34,4342.91,0.03905,0.97806,1,0.06047,0.003466,0.003466,0.003466
35,4470.32,0.03531,0.97877,1,0.05849,0.003268,0.003268,0.003268
36,4599.85,0.03082,0.97948,1,0.05529,0.00307,0.00307,0.00307
37,4731.12,0.03139,0.98019,1,0.05603,0.002872,0.002872,0.002872
38,4849.33,0.02754,0.98143,1,0.05882,0.002674,0.002674,0.002674
39,4969.7,0.02521,0.98231,1,0.05027,0.002476,0.002476,0.002476
40,5088.68,0.02442,0.98266,1,0.04923,0.002278,0.002278,0.002278
41,5245.1,0.02382,0.98337,1,0.04759,0.00208,0.00208,0.00208
42,5364.15,0.02293,0.98355,1,0.04652,0.001882,0.001882,0.001882
43,5497.34,0.01998,0.98355,1,0.04512,0.001684,0.001684,0.001684
44,5616.43,0.01932,0.98443,1,0.04418,0.001486,0.001486,0.001486
45,5735.31,0.01636,0.98496,1,0.04135,0.001288,0.001288,0.001288
46,5865.69,0.01603,0.98532,1,0.03938,0.00109,0.00109,0.00109
47,5995.77,0.01556,0.98638,1,0.03768,0.000892,0.000892,0.000892
48,6128.35,0.01361,0.98797,1,0.03597,0.000694,0.000694,0.000694
49,6257.87,0.01081,0.98832,1,0.03443,0.000496,0.000496,0.000496
50,6387.56,0.00976,0.98956,1,0.03293,0.000298,0.000298,0.000298
