epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,130.777,0.69433,0.56713,1,0.69091,0.00332808,0.00332808,0.00332808
2,253.191,0.69637,0.58394,1,0.67143,0.00652951,0.00652951,0.00652951
3,385.858,0.69526,0.59933,1,0.6799,0.00959895,0.00959895,0.00959895
4,505.927,nan,0.49903,1,nan,0.009406,0.009406,0.009406
5,625.866,nan,0.49903,1,nan,0.009208,0.009208,0.009208
6,743.786,nan,0.49903,1,nan,0.00901,0.00901,0.00901
7,861.629,nan,0.49903,1,nan,0.008812,0.008812,0.008812
8,979.57,nan,0.49903,1,nan,0.008614,0.008614,0.008614
9,1097.36,0.48071,0.49903,1,nan,0.008416,0.008416,0.008416
10,1215.18,0.44298,0.49903,1,nan,0.008218,0.008218,0.008218
11,1333.2,0.40718,0.49903,1,nan,0.00802,0.00802,0.00802
12,1450.98,0.37766,0.49903,1,nan,0.007822,0.007822,0.007822
13,1569.36,0.34126,0.49903,1,nan,0.007624,0.007624,0.007624
14,1687.47,0.32334,0.49903,1,nan,0.007426,0.007426,0.007426
15,1805.58,0.30482,0.49903,1,nan,0.007228,0.007228,0.007228
16,1923.45,0.27985,0.49903,1,nan,0.00703,0.00703,0.00703
17,2041.11,0.26834,0.49903,1,nan,0.006832,0.006832,0.006832
18,2158.64,0.25388,0.49903,1,nan,0.006634,0.006634,0.006634
19,2276.61,0.24334,0.49903,1,nan,0.006436,0.006436,0.006436
20,2394.45,0.23568,0.49903,1,nan,0.006238,0.006238,0.006238
21,2512.32,0.22595,0.49903,1,nan,0.00604,0.00604,0.00604
22,2630.36,0.21893,0.49903,1,nan,0.005842,0.005842,0.005842
23,2748.12,0.20663,0.49903,1,nan,0.005644,0.005644,0.005644
24,2866.25,0.19808,0.49903,1,nan,0.005446,0.005446,0.005446
25,2984.27,0.18709,0.49903,1,nan,0.005248,0.005248,0.005248
26,3102.46,0.1784,0.49903,1,nan,0.00505,0.00505,0.00505
27,3220.58,0.17013,0.49903,1,nan,0.004852,0.004852,0.004852
28,3338.83,0.15986,0.49903,1,nan,0.004654,0.004654,0.004654
29,3456.95,0.14859,0.49903,1,nan,0.004456,0.004456,0.004456
30,3575.08,0.1375,0.49903,1,nan,0.004258,0.004258,0.004258
31,3693.83,0.12956,0.49903,1,nan,0.00406,0.00406,0.00406
32,3812.12,0.11939,0.49903,1,nan,0.003862,0.003862,0.003862
33,3930.11,0.10993,0.49903,1,nan,0.003664,0.003664,0.003664
34,4048.3,0.10196,0.49903,1,nan,0.003466,0.003466,0.003466
35,4166.33,0.09637,0.49903,1,nan,0.003268,0.003268,0.003268
36,4284.68,0.08678,0.49903,1,nan,0.00307,0.00307,0.00307
37,4402.84,0.08458,0.49903,1,nan,0.002872,0.002872,0.002872
38,4521,0.07642,0.49903,1,nan,0.002674,0.002674,0.002674
39,4639.13,0.06988,0.49903,1,nan,0.002476,0.002476,0.002476
40,4757.55,0.06756,0.49903,1,nan,0.002278,0.002278,0.002278
41,4912.84,0.06128,0.49903,1,nan,0.00208,0.00208,0.00208
42,5045.99,0.05923,0.49903,1,nan,0.001882,0.001882,0.001882
43,5174.48,0.05688,0.49903,1,nan,0.001684,0.001684,0.001684
44,5303.4,0.05107,0.49903,1,nan,0.001486,0.001486,0.001486
45,5422.48,0.04998,0.49903,1,nan,0.001288,0.001288,0.001288
46,5554.23,0.0477,0.49903,1,nan,0.00109,0.00109,0.00109
47,5671.95,0.0432,0.49903,1,nan,0.000892,0.000892,0.000892
48,5790.18,0.04007,0.49903,1,nan,0.000694,0.000694,0.000694
49,5920.18,0.0376,0.49903,1,nan,0.000496,0.000496,0.000496
50,6038.01,0.03787,0.49903,1,nan,0.000298,0.000298,0.000298
